year,country,temperature(Celsius),suicide_per_100k
1991,Thailand,27.007350000000002,6.851122339542589
1992,Thailand,26.590366666666664,6.75284437413877
1994,Thailand,26.6785,4.37835683513314
1995,Thailand,26.55435,7.80818075513551
1996,Thailand,26.162633333333332,8.067810574344772
1997,Thailand,26.696225,7.429408800945693
1998,Thailand,27.378066666666665,8.75435510645343
1999,Thailand,26.156391666666668,9.174398073585069
2000,Thailand,26.371025,8.894284426755037
2002,Thailand,27.009625,8.413516762644889
2003,Thailand,26.941975000000003,7.453587413783198
2004,Thailand,26.842533333333336,7.0790192058437915
2005,Thailand,27.12239166666667,6.434829211836388
2006,Thailand,26.494775,5.85367322537654
2007,Thailand,26.371350000000007,6.369013841679041
2008,Thailand,26.03023333333333,6.379949140423441
2009,Thailand,26.435599999999994,6.36644804213482
2010,Thailand,27.102908333333335,6.2924792542262695
2011,Thailand,26.090791666666664,6.426953631280241
2012,Thailand,27.024033333333335,6.599621031046293
2013,Thailand,26.664924999999997,6.518395575508591
2014,Thailand,26.745924999999996,6.463862014602928
2015,Thailand,27.15828333333333,6.864042466239199
1996,South Africa,17.380869166666667,0.37857075614505104
1997,South Africa,17.744166666666665,0.2699324548537319
1998,South Africa,18.222466666666666,0.4588036623135719
1999,South Africa,18.596716666666666,0.699115656281667
2000,South Africa,17.58729166666667,0.658145141413576
2001,South Africa,17.87586666666667,0.9323647326338508
2002,South Africa,17.934908333333333,0.564541061128602
2003,South Africa,18.307583333333334,0.6035556643003589
2004,South Africa,18.465841666666666,0.8905760175923878
2005,South Africa,18.55558333333333,1.0512759379671
2006,South Africa,18.041683333333335,1.1660866519898598
2007,South Africa,18.36433333333333,0.9354508620785379
2008,South Africa,18.462333333333333,1.0096018400485696
2009,South Africa,18.380733333333332,0.815663403603759
2010,South Africa,18.662458333333337,0.8510877898138
2011,South Africa,18.070475,0.7648471302390879
2012,South Africa,18.207266666666666,1.0256030967401097
2013,South Africa,18.31061666666667,1.2180268218636203
2014,South Africa,18.471675,1.1857999474935998
2015,South Africa,18.750566666666668,0.971236488830982
